group,query_count,retained_vs_control_pct,preagg_vs_retained_pct,all_vs_control_pct
大状态8Q,8,-2.8424790707222063,4.811701477144176,1.0367532619911761
小状态7Q,7,-2.3581305694730808,0.8310448418997546,-1.5971267538143217
ValueState11Q,11,-3.4560691522470517,3.884410282235302,-0.29265143462416615
15Q总计,15,-2.6164497701392815,2.954061714030112,-0.1923907453847228
